host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within a few hours,0.92,0.75,t,Private room in rental unit,Private room,1,1 bath,,1,830.72,5,5,5,5,5,5,5,f,0.77
within a day,0.5,0.55,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1718.08,4.81,4.76,4.67,4.9,5,4.95,4.76,f,2.53
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,1,1736.96,4.8,4.85,4.7,4.75,4.9,5,4.75,f,2.64
N/A,N/A,0.82,t,Private room in rental unit,Private room,2,1.5 shared baths,,1,717.44,5,5,5,5,5,4.88,4.75,f,0.96
within an hour,0.88,0.98,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1888,4.71,5,5,5,4.57,4.86,4.57,t,0.96
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,3058.56,4.93,4.93,5,4.93,4.93,4.86,4.71,t,1.67
N/A,N/A,N/A,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,925.12,4.65,4.65,4.73,4.84,4.74,4.68,4.61,f,3.86
N/A,N/A,0.25,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1264.96,,,,,,,,f,
within a few hours,1,0.92,t,Entire rental unit,Entire home/apt,5,1 bath,2,2,3039.68,4.54,4.71,4.25,4.67,4.5,4.79,4.38,f,2.91
within an hour,1,0.96,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1132.8,4.82,4.87,4.79,4.97,4.92,4.49,4.59,f,5.32
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1661.44,4.72,4.89,4.43,4.89,4.85,4.96,4.65,f,6.43
N/A,N/A,N/A,t,Entire rental unit,Entire home/apt,2,Half-bath,,1,1227.2,4.81,4.81,4.88,4.81,4.8,5,4.63,f,4.21
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1416,4.91,4.96,4.96,4.83,4.91,4.83,4.83,f,2.74
within an hour,1,1,t,Entire rental unit,Entire home/apt,3,1 bath,2,2,2454.4,5,4.75,4.75,4.75,4.75,4.75,4.75,f,0.65
within an hour,1,0.96,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1793.6,5,5,5,5,5,5,4.82,f,1.38
within an hour,0.96,0.98,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1283.84,5,5,5,5,5,5,4,t,0.16
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2529.92,4.4,4.8,4.4,4.6,5,5,4.4,t,0.72
N/A,N/A,N/A,t,Entire rental unit,Entire home/apt,5,2 baths,3,3,4153.6,5,5,5,5,5,5,5,f,0.27
within an hour,0.98,0.99,t,Entire rental unit,Entire home/apt,5,1 bath,3,3,1567.04,5,5,5,5,5,5,5,f,0.53
N/A,N/A,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,3398.4,,,,,,,,f,
within an hour,1,0.92,t,Entire rental unit,Entire home/apt,6,1 bath,2,3,2360,4.5,4.75,4.5,3.5,4,4.75,4.5,t,0.55
within an hour,1,0.78,t,Private room in rental unit,Private room,2,1 shared bath,,1,660.8,5,5,4.4,5,5,5,4.8,t,0.71
within a day,1,0.67,t,Entire condo,Entire home/apt,2,1 bath,1,1,1416,4.9,4.7,5,5,5,4.5,4.9,f,1.29
within a day,1,0.5,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,3776,,,,,,,,f,
